P_c,T_c
1.9909705238425017e-6,287.0579418780666
1.995328520936441e-6,287.09479646779835
1.9996960571664167e-6,287.1316605231703
2.004073153412464e-6,287.16853404562426
2.0084598306003097e-6,287.20541704100464
2.012856109701498e-6,287.2423095107822
2.0172620117334756e-6,287.279211460763
2.021677557759683e-6,287.31612289248034
2.026102768889678e-6,287.35304381166947
2.0305376662792197e-6,287.3899742199562
2.03498227113038e-6,287.4269141229775
2.0394366046916267e-6,287.46386352247777
2.0439006882579503e-6,287.50082242397104
2.048374543170953e-6,287.5377908293429
2.0528581908189407e-6,287.5747687439636
2.0573516526370454e-6,287.61175616987975
2.0618549501073207e-6,287.6487531122993
2.0663681047588273e-6,287.6857595734465
2.070891138167764e-6,287.7227755583518
2.075424071957553e-6,287.7598010694314
2.0799669277989524e-6,287.79683611152575
2.084519727410141e-6,287.83388068725304
2.0890824925568497e-6,287.87093480125515
2.093655245052452e-6,287.90799845636064
2.0982380067580548e-6,287.945071657005
2.10283079958263e-6,287.98215440623306
2.1074336454831056e-6,288.01924670827015
2.112046566464457e-6,288.0563485663803
2.1166695845798396e-6,288.093459984576
2.121302721930676e-6,288.1305809663421
2.12594600066677e-6,288.16771151547846
2.130599442986397e-6,288.2048516356875
2.135263071136433e-6,288.2420013305636
2.139936907412451e-6,288.2791606040148
2.1446209741588126e-6,288.3163294594484
2.1493152937688025e-6,288.3535079009563
2.154019888684721e-6,288.3906959317799
2.1587347813979785e-6,288.4278935561748
2.1634599944492303e-6,288.4651007772361
2.168195550428466e-6,288.5023175993641
2.1729414719751257e-6,288.53954402552546
2.177697781778192e-6,288.57678006024815
2.182464502576324e-6,288.614025706387
2.187241657157953e-6,288.6512809685818
2.192029268361378e-6,288.6885458495907
2.196827359074902e-6,288.72582035415076
2.201635952236928e-6,288.76310448493706
2.206455070836054e-6,288.8003982467713
2.2112847379112117e-6,288.83770164225757
2.216124976551757e-6,288.8750146762901
2.2209758098975913e-6,288.9123373514146
2.2258372611392517e-6,288.9496696725854
2.230709353518051e-6,288.9870116423008
2.235592110326174e-6,289.02436326556574
2.240485554906776e-6,289.06172454484044
2.245389710654121e-6,289.0990954851706
2.250304601013681e-6,289.1364760889887
2.2552302494822328e-6,289.173866361371
2.2601666796079985e-6,289.2112663047312
2.2651139149907406e-6,289.24867592416814
2.270071979281883e-6,289.2860952220851
2.2750408961846057e-6,289.32352420359484
2.2800206894539865e-6,289.36096287109854
2.285011382897099e-6,289.39841122971455
2.2900130003731153e-6,289.43586928185067
2.2950255657934458e-6,289.4733370326221
2.3000491031218393e-6,289.5108144844518
2.3050836363744852e-6,289.5483016424437
2.310129189620155e-6,289.5857985090436
2.3151857869803006e-6,289.6233050893358
2.320253452629176e-6,289.66082138579884
2.3253322107939356e-6,289.6983474034874
2.330422085754779e-6,289.7358831449215
2.3355231018450528e-6,289.7734286151177
2.3406352834513507e-6,289.8109838166472
2.345758655013661e-6,289.8485487544778
2.3508932410254683e-6,289.88612343124254
2.356039066033856e-6,289.9237078518498
2.3611961546396515e-6,289.9613020190058
2.3663645314975273e-6,289.9989059375476
2.371544221316126e-6,290.03651961026634
2.3767352488581604e-6,290.0741430419161
2.3819376389405593e-6,290.11177623538555
2.3871514164345746e-6,290.14941919533175
2.392376606265882e-6,290.18707192475586
2.3976132334147333e-6,290.2247344282027
2.4028613229160564e-6,290.2624067088015
2.408120899859565e-6,290.30008877096844
2.413391989389906e-6,290.3377806179781
2.418674616706758e-6,290.3754822541003
2.4239688070649658e-6,290.4131936827732
2.429274585774638e-6,290.4509149081008
2.4345919782012998e-6,290.48864593370547
2.4399210097659977e-6,290.52638676350483
2.445261705945407e-6,290.5641374013261
2.4506140922719833e-6,290.60189785088227
2.4559781943340704e-6,290.63966811621736
2.4613540377760066e-6,290.67744820083345
2.4667416482982766e-6,290.7152381089934
2.4721410516576173e-6,290.75303784398903
2.4775522736671475e-6,290.7908474103005
2.482975340196473e-6,290.82866681101154
2.4884102771718415e-6,290.8664960508164
2.493857110576248e-6,290.90433513259575
2.4993158664495476e-6,290.94218406125117
2.5047865708886078e-6,290.9800428394678
2.510269250047415e-6,291.0179114723464
2.5157639301372083e-6,291.0557899623861
2.521270637426584e-6,291.09367831487566
2.5267893982416534e-6,291.13157653214137
2.532320238966152e-6,291.16948461964506
2.537863186041551e-6,291.2074025795556
2.5434182659672144e-6,291.245330417492
2.54898550530051e-6,291.28326813548387
2.5545649306569208e-6,291.32121573928634
2.5601565687102037e-6,291.3591732308125
2.5657604461924962e-6,291.39714061593025
2.5713765898944542e-6,291.4351178964605
2.5770050266653595e-6,291.4731050783576
2.58264578341328e-6,291.5111021633787
2.588298887105181e-6,291.54910915753464
2.593964364767041e-6,291.5871260625507
2.5996422434840095e-6,291.6251528844599
2.6053325504005233e-6,291.66318962499156
2.6110353127204187e-6,291.70123629016405
2.6167505577070936e-6,291.7392928817496
2.622478312683618e-6,291.77735940571023
2.6282186050328726e-6,291.81543586390455
2.6339714621976616e-6,291.8535222621935
2.639736911680873e-6,291.89161860256905
2.6455149810455957e-6,291.9297248907417
2.6513056979152353e-6,291.96784112888815
2.6571090899736773e-6,292.0059673225149
2.6629251849654044e-6,292.04410347403905
2.6687540106956114e-6,292.0822495887055
2.6745955950303733e-6,292.12040566923156
2.6804499658967534e-6,292.1585717205385
2.6863171512829514e-6,292.1967477457081
2.6921971792384113e-6,292.23493374927114
2.698090077873992e-6,292.27312973474346
2.703995875362083e-6,292.31133570619676
2.7099145999367242e-6,292.34955166764513
2.715846279893771e-6,292.3877776226628
2.721790943591018e-6,292.42601357575296
2.7277486194483117e-6,292.4642595300321
2.7337193359477254e-6,292.5025154904398
2.73970312163367e-6,292.5407814596947
2.7457000051130418e-6,292.57905744311097
2.7517100150553382e-6,292.6173434430741
2.7577331801928266e-6,292.65563946520433
2.7637695293206668e-6,292.69394551162543
2.76981909129703e-6,292.7322615881909
2.7758818950432724e-6,292.77058769683765
2.781957969544055e-6,292.80892384357406
2.7880473438474655e-6,292.847270030232
2.7941500470651923e-6,292.88562626289007
2.8002661083726394e-6,292.92399254336266
2.8063955570090783e-6,292.96236887770823
2.8125384222777646e-6,293.0007552678167
2.818694733546112e-6,293.0391517196306
2.824864520245817e-6,293.07755823521416
2.83104781187298e-6,293.1159748202918
2.837244637988283e-6,293.1544014772078
2.843455028217113e-6,293.1928382113599
2.849679012249685e-6,293.2312850254836
2.8559166198412213e-6,293.2697419245357
2.8621678808120673e-6,293.3082089117605
2.8684328250478484e-6,293.34668599155333
2.8747114824995886e-6,293.38517316779036
2.8810038831838886e-6,293.42367044421485
2.8873100571830517e-6,293.46217782535814
2.8936300346452096e-6,293.50069531434764
2.8999638457845035e-6,293.5392229162818
2.9063115208812093e-6,293.57776063378776
2.9126730902818647e-6,293.61630847241287
2.91904858439945e-6,293.654866434405
2.925438033713511e-6,293.69343452563567
2.9318414687703143e-6,293.7320127481018
2.9382589201829718e-6,293.77060110786744
2.9446904186316207e-6,293.80919960681445
2.9511359948635542e-6,293.847808251059
2.9575956796933498e-6,293.88642704251197
2.964069504003052e-6,293.9250559871944
2.9705574987423017e-6,293.96369508719675
2.9770596949284683e-6,294.00234434829116
2.983576123646832e-6,294.04100377290496
2.990106816050708e-6,294.0796733663994
2.9966518033616104e-6,294.11835313170536
3.0032111168693734e-6,294.15704307360335
3.0097847879323405e-6,294.1957431957008
3.0163728479774937e-6,294.23445350204315
3.022975328500587e-6,294.27317399702713
3.0295922610663345e-6,294.31190468393226
3.0362236773085394e-6,294.3506455678537
3.042869608930231e-6,294.3893966514625
3.0495300877038502e-6,294.42815794038336
3.0562051454713785e-6,294.4669294368553
3.062894814144501e-6,294.50571114685255
3.0695991257047356e-6,294.5445030723659
3.076318112203623e-6,294.5833052195309
3.08305180576286e-6,294.6221175902832
3.089800238574436e-6,294.6609401907221
3.0965634429008232e-6,294.69977302292943
3.1033414510751125e-6,294.7386160927628
3.1101342955011492e-6,294.7774694026607
3.116942008653726e-6,294.8163329580239
