,T_int,logg,lam,f_nu
342,90.0,2.0,1.2788,4.527940317460318e-06
343,90.0,2.0,1.2803,3.833818412698413e-05
344,90.0,2.0,1.2818,4.4083866666666666e-05
345,90.0,2.0,1.2833,4.455035238095238e-05
346,90.0,2.0,1.28481,1.334635238095238e-05
347,90.0,2.0,1.28631,8.526386666666668e-06
348,90.0,2.0,1.28782,5.2296850793650795e-06
349,90.0,2.0,1.28933,7.5597292063492055e-06
350,90.0,2.0,1.29084,7.67302253968254e-06
351,90.0,2.0,1.29236,7.328134285714285e-06
352,90.0,2.0,1.29387,5.545444444444444e-06
353,90.0,2.0,1.29539,1.0429965079365079e-05
354,90.0,2.0,1.29691,1.5191857142857143e-05
355,90.0,2.0,1.29843,1.500515238095238e-05
356,90.0,2.0,1.29995,9.001544761904763e-06
357,90.0,2.0,1.30147,3.648559047619048e-06
358,90.0,2.0,1.303,1.4978822222222222e-06
359,90.0,2.0,1.30453,1.6650879365079365e-06
360,90.0,2.0,1.30606,1.3692603174603174e-06
361,90.0,2.0,1.30759,6.758058730158729e-07
362,90.0,2.0,1.30912,6.382881587301587e-07
363,90.0,2.0,1.31066,6.540402222222223e-07
364,90.0,2.0,1.31219,5.323534603174604e-07
365,90.0,2.0,1.31373,4.476219047619047e-07
366,90.0,2.0,1.31527,3.387991746031746e-07
367,90.0,2.0,1.31681,2.029705396825397e-07
368,90.0,2.0,1.31836,2.647000317460317e-07
369,90.0,2.0,1.3199,2.233708888888889e-07
370,90.0,2.0,1.32145,6.889258412698412e-07
371,90.0,2.0,1.323,1.8531460317460316e-06
372,90.0,2.0,1.32455,4.160809523809524e-06
373,90.0,2.0,1.32611,3.858482222222222e-06
374,90.0,2.0,1.32766,2.5833660317460317e-06
375,90.0,2.0,1.32922,2.767704761904762e-07
376,90.0,2.0,1.33078,3.426575555555556e-08
377,90.0,2.0,1.33234,8.174796190476191e-08
378,90.0,2.0,1.3339,2.2242723809523808e-06
379,90.0,2.0,1.33546,2.4548638095238097e-06
380,90.0,2.0,1.33703,2.435576507936508e-06
381,90.0,2.0,1.3386,5.156844444444444e-07
382,90.0,2.0,1.34017,2.763368571428571e-07
383,90.0,2.0,1.34174,2.492701904761905e-07
384,90.0,2.0,1.34331,5.184168888888889e-08
385,90.0,2.0,1.34488,9.436692063492063e-08
386,90.0,2.0,1.34646,1.6776361904761904e-07
387,90.0,2.0,1.34804,1.9654726984126983e-07
388,90.0,2.0,1.34962,1.4862453968253967e-07
389,90.0,2.0,1.3512,7.804424761904761e-08
390,90.0,2.0,1.35279,7.499639365079364e-08
391,90.0,2.0,1.35437,1.3169498412698412e-07
392,90.0,2.0,1.35596,1.34860126984127e-07
393,90.0,2.0,1.35755,8.391799047619048e-08
394,90.0,2.0,1.35914,4.967313333333333e-08
395,90.0,2.0,1.36074,8.86189365079365e-08
396,90.0,2.0,1.36233,1.7072346031746034e-07
397,90.0,2.0,1.36393,1.8564971428571426e-07
398,90.0,2.0,1.36553,1.6294501587301588e-07
399,90.0,2.0,1.36713,1.1612612698412699e-07
400,90.0,2.0,1.36873,1.0748596825396826e-07
401,90.0,2.0,1.37034,8.516379365079365e-08
402,90.0,2.0,1.37195,1.141568888888889e-07
