,T_int,logg,lam,f_nu
356,90.0,2.4,1.14832,5.38927e-07
357,90.0,2.4,1.1497,5.02596e-07
358,90.0,2.4,1.15108,3.33917e-07
359,90.0,2.4,1.15246,3.02589e-07
360,90.0,2.4,1.15384,3.33758e-07
361,90.0,2.4,1.15523,3.82367e-07
362,90.0,2.4,1.15661,2.39999e-07
363,90.0,2.4,1.158,1.05069e-07
364,90.0,2.4,1.15939,4.94708e-08
365,90.0,2.4,1.16078,1.35701e-07
366,90.0,2.4,1.16217,2.33681e-07
367,90.0,2.4,1.16356,2.31797e-07
368,90.0,2.4,1.16496,1.62619e-07
369,90.0,2.4,1.16636,1.25789e-07
370,90.0,2.4,1.16775,1.59961e-07
371,90.0,2.4,1.16916,1.40655e-07
372,90.0,2.4,1.17056,7.7041e-08
373,90.0,2.4,1.17196,4.01333e-08
374,90.0,2.4,1.17337,2.53478e-08
375,90.0,2.4,1.17477,3.88983e-08
376,90.0,2.4,1.17618,5.08322e-08
377,90.0,2.4,1.17759,5.46881e-08
378,90.0,2.4,1.17901,5.15332e-08
379,90.0,2.4,1.18042,6.81372e-08
380,90.0,2.4,1.18184,1.84736e-07
381,90.0,2.4,1.18325,2.20408e-07
382,90.0,2.4,1.18467,2.06465e-07
383,90.0,2.4,1.18609,1.41161e-07
384,90.0,2.4,1.18751,9.91028e-08
385,90.0,2.4,1.18894,8.64922e-08
386,90.0,2.4,1.19036,8.24328e-08
387,90.0,2.4,1.19179,8.65297e-08
388,90.0,2.4,1.19322,2.56968e-07
389,90.0,2.4,1.19465,3.42608e-07
390,90.0,2.4,1.19609,3.98781e-07
391,90.0,2.4,1.19752,2.71911e-07
392,90.0,2.4,1.19896,1.59995e-07
393,90.0,2.4,1.20039,1.17978e-07
394,90.0,2.4,1.20183,1.14472e-07
395,90.0,2.4,1.20327,1.14791e-07
396,90.0,2.4,1.20472,1.30725e-07
397,90.0,2.4,1.20616,1.25857e-07
398,90.0,2.4,1.20761,1.02116e-07
399,90.0,2.4,1.20906,8.06294e-08
400,90.0,2.4,1.21051,1.04375e-07
401,90.0,2.4,1.21196,1.65203e-07
402,90.0,2.4,1.21341,2.44855e-07
