,T_int,logg,lam,f_nu,f_lam,F
232,200.0,2.0,0.6723589999999999,2.71013e-31,1.7972495412892132e-12,5.254375237651527e-15
233,200.0,2.0,0.67322,2.9197e-31,1.9312785358161937e-12,5.254375237651527e-15
234,200.0,2.0,0.6740819999999998,3.13175e-31,2.0662474392684307e-12,5.254375237651527e-15
235,200.0,2.0,0.674946,3.2740700000000003e-31,2.1546196070245076e-12,5.254375237651527e-15
236,200.0,2.0,0.67581,3.3847000000000005e-31,2.2217319309690326e-12,5.254375237651527e-15
237,200.0,2.0,0.6766749999999999,3.40617e-31,2.2301124347076607e-12,5.254375237651527e-15
238,200.0,2.0,0.6775419999999999,3.38782e-31,2.2124251511683976e-12,5.254375237651527e-15
239,200.0,2.0,0.6784089999999999,3.2402e-31,2.1106164517776294e-12,5.254375237651527e-15
240,200.0,2.0,0.679278,3.0055200000000002e-31,1.952743616882452e-12,5.254375237651527e-15
241,200.0,2.0,0.6801479999999999,2.7351900000000004e-31,1.7725616634066156e-12,5.254375237651527e-15
242,200.0,2.0,0.681019,2.4675500000000004e-31,1.59502761775441e-12,5.254375237651527e-15
243,200.0,2.0,0.681891,2.22657e-31,1.4355791408684395e-12,5.254375237651527e-15
244,200.0,2.0,0.6827639999999999,2.03161e-31,1.3065312947604183e-12,5.254375237651527e-15
245,200.0,2.0,0.683638,1.4851899999999999e-31,9.526871981905073e-13,5.254375237651527e-15
246,200.0,2.0,0.6845129999999999,1.50891e-31,9.654296634833431e-13,5.254375237651527e-15
247,200.0,2.0,0.68539,1.6216800000000002e-31,1.0349284748100122e-12,5.254375237651527e-15
248,200.0,2.0,0.6862669999999998,2.01944e-31,1.285480300421898e-12,5.254375237651527e-15
249,200.0,2.0,0.6871459999999999,1.85579e-31,1.1782880892846104e-12,5.254375237651527e-15
250,200.0,2.0,0.688026,1.7162700000000003e-31,1.0869175812802442e-12,5.254375237651527e-15
251,200.0,2.0,0.6889069999999999,1.6338e-31,1.032044442056861e-12,5.254375237651527e-15
252,200.0,2.0,0.689789,1.61807e-31,1.019495891494999e-12,5.254375237651527e-15
253,200.0,2.0,0.690672,1.5535900000000002e-31,9.763677368781784e-13,5.254375237651527e-15
254,200.0,2.0,0.691557,1.40651e-31,8.816730457887336e-13,5.254375237651527e-15
255,200.0,2.0,0.6924419999999999,1.1899199999999999e-31,7.439978197873866e-13,5.254375237651527e-15
256,200.0,2.0,0.6933289999999999,1.1175e-31,6.969305510866824e-13,5.254375237651527e-15
257,200.0,2.0,0.694217,1.15452e-31,7.181773012430215e-13,5.254375237651527e-15
258,200.0,2.0,0.6951059999999999,1.06779e-31,6.62528366759677e-13,5.254375237651527e-15
259,200.0,2.0,0.6959959999999998,9.690000000000001e-32,5.996957798638099e-13,5.254375237651527e-15
260,200.0,2.0,0.6968869999999999,9.958120000000001e-32,6.147143226373726e-13,5.254375237651527e-15
261,200.0,2.0,0.697779,9.100400000000001e-32,5.603319605058132e-13,5.254375237651527e-15
262,200.0,2.0,0.698673,7.61942e-32,4.679448755213837e-13,5.254375237651527e-15
263,200.0,2.0,0.699567,4.50593e-32,2.760237895865655e-13,5.254375237651527e-15
264,200.0,2.0,0.700463,4.41261e-32,2.6961611601184077e-13,5.254375237651527e-15
265,200.0,2.0,0.70136,4.0997199999999996e-32,2.4985780041265847e-13,5.254375237651527e-15
266,200.0,2.0,0.702258,5.27223e-32,3.2049529650417157e-13,5.254375237651527e-15
267,200.0,2.0,0.703157,6.360510000000001e-32,3.856630517934122e-13,5.254375237651527e-15
268,200.0,2.0,0.7040579999999999,6.44684e-32,3.89897741542829e-13,5.254375237651527e-15
269,200.0,2.0,0.7049589999999999,6.57417e-32,3.965828361713986e-13,5.254375237651527e-15
270,200.0,2.0,0.7058619999999999,6.863620000000001e-32,4.129850488479707e-13,5.254375237651527e-15
271,200.0,2.0,0.706766,6.67068e-32,4.0034970473182584e-13,5.254375237651527e-15
272,200.0,2.0,0.707671,7.00731e-32,4.19478045904857e-13,5.254375237651527e-15
273,200.0,2.0,0.708577,7.52119e-32,4.4908976805061745e-13,5.254375237651527e-15
274,200.0,2.0,0.709484,9.109120000000001e-32,5.425152049091622e-13,5.254375237651527e-15
275,200.0,2.0,0.710393,9.96065e-32,5.917128982113246e-13,5.254375237651527e-15
276,200.0,2.0,0.7113019999999999,1.06818e-31,6.329320467213696e-13,5.254375237651527e-15
277,200.0,2.0,0.712213,9.84425e-32,5.818131650747289e-13,5.254375237651527e-15
278,200.0,2.0,0.7131249999999999,7.548629999999999e-32,4.4499744570473826e-13,5.254375237651527e-15
279,200.0,2.0,0.714038,5.32484e-32,3.1310111620056744e-13,5.254375237651527e-15
280,200.0,2.0,0.7149519999999999,4.44411e-32,2.6064640074459553e-13,5.254375237651527e-15
281,200.0,2.0,0.715868,4.047290000000001e-32,2.367658859806671e-13,5.254375237651527e-15
282,200.0,2.0,0.7167839999999999,3.35674e-32,1.9586723915593458e-13,5.254375237651527e-15
283,200.0,2.0,0.7177019999999998,2.6933e-32,1.5675345470855432e-13,5.254375237651527e-15
284,200.0,2.0,0.718621,2.4519300000000003e-32,1.4234065558216869e-13,5.254375237651527e-15
285,200.0,2.0,0.7195409999999999,2.2556600000000002e-32,1.3061205132174393e-13,5.254375237651527e-15
