,T_int,logg,lam,f_nu
472,90.0,2.4,1.31961,2.78443e-07
473,90.0,2.4,1.32119,3.98455e-07
474,90.0,2.4,1.32277,2.84871e-06
475,90.0,2.4,1.32436,6.58552e-06
476,90.0,2.4,1.32595,7.22916e-06
477,90.0,2.4,1.32754,4.58652e-06
478,90.0,2.4,1.32913,8.45646e-07
479,90.0,2.4,1.33072,3.72274e-08
480,90.0,2.4,1.33232,7.8138e-08
481,90.0,2.4,1.33392,4.28978e-06
482,90.0,2.4,1.33552,4.62424e-06
483,90.0,2.4,1.33712,4.62305e-06
484,90.0,2.4,1.33872,6.6482e-07
485,90.0,2.4,1.34033,3.21958e-07
486,90.0,2.4,1.34194,2.83502e-07
487,90.0,2.4,1.34354,5.91918e-08
488,90.0,2.4,1.34516,9.20216e-08
489,90.0,2.4,1.34677,1.64645e-07
490,90.0,2.4,1.34838,1.5411e-07
491,90.0,2.4,1.35,1.16796e-07
492,90.0,2.4,1.35162,5.22598e-08
493,90.0,2.4,1.35324,7.61544e-08
494,90.0,2.4,1.35486,1.11739e-07
495,90.0,2.4,1.35649,9.76022e-08
496,90.0,2.4,1.35812,6.0038e-08
497,90.0,2.4,1.35974,5.13162e-08
498,90.0,2.4,1.36138,9.36398e-08
499,90.0,2.4,1.36301,1.35168e-07
500,90.0,2.4,1.36464,1.30098e-07
501,90.0,2.4,1.36628,1.11591e-07
502,90.0,2.4,1.36792,9.75133e-08
503,90.0,2.4,1.36956,8.60238e-08
504,90.0,2.4,1.3712,8.9567e-08
505,90.0,2.4,1.37284,7.74569e-08
506,90.0,2.4,1.37449,7.45433e-08
507,90.0,2.4,1.37614,5.73785e-08
508,90.0,2.4,1.37779,3.96387e-08
509,90.0,2.4,1.37944,7.64796e-08
510,90.0,2.4,1.3811,6.7999e-08
511,90.0,2.4,1.38275,9.50814e-08
512,90.0,2.4,1.38441,9.60898e-08
513,90.0,2.4,1.38607,1.1472e-07
514,90.0,2.4,1.38773,9.84865e-08
515,90.0,2.4,1.3894,7.31656e-08
516,90.0,2.4,1.39106,6.40797e-08
517,90.0,2.4,1.39273,5.06606e-08
518,90.0,2.4,1.3944,3.98662e-08
519,90.0,2.4,1.39607,3.01872e-08
520,90.0,2.4,1.39775,4.03679e-08
521,90.0,2.4,1.39943,5.67796e-08
522,90.0,2.4,1.4011,5.83797e-08
523,90.0,2.4,1.40278,4.44366e-08
524,90.0,2.4,1.40447,3.90785e-08
525,90.0,2.4,1.40615,3.88841e-08
526,90.0,2.4,1.40784,4.1054e-08
527,90.0,2.4,1.40952,3.25217e-08
528,90.0,2.4,1.41122,9.38789e-08
529,90.0,2.4,1.41291,1.52701e-07
530,90.0,2.4,1.4146,1.46067e-07
531,90.0,2.4,1.4163,9.52677e-08
532,90.0,2.4,1.418,1.03582e-07
533,90.0,2.4,1.4197,2.18075e-07
534,90.0,2.4,1.4214,1.40871e-06
535,90.0,2.4,1.4231,2.07496e-06
536,90.0,2.4,1.42481,1.97714e-06
537,90.0,2.4,1.42652,7.71767e-07
538,90.0,2.4,1.42823,8.70609e-08
539,90.0,2.4,1.42994,1.74038e-07
540,90.0,2.4,1.43166,2.04074e-06
541,90.0,2.4,1.43338,2.79202e-06
542,90.0,2.4,1.43509,3.52153e-06
543,90.0,2.4,1.43682,1.76841e-06
544,90.0,2.4,1.43854,9.88193e-07
545,90.0,2.4,1.44026,1.81973e-07
546,90.0,2.4,1.44199,9.21784e-07
547,90.0,2.4,1.44372,9.05941e-07
548,90.0,2.4,1.44545,8.74176e-07
549,90.0,2.4,1.44719,4.71098e-08
550,90.0,2.4,1.44892,2.34197e-07
551,90.0,2.4,1.45066,2.70673e-07
552,90.0,2.4,1.4524,2.58964e-07
553,90.0,2.4,1.45414,1.07021e-07
554,90.0,2.4,1.45588,1.36281e-06
555,90.0,2.4,1.45763,1.35359e-06
556,90.0,2.4,1.45938,1.31877e-06
557,90.0,2.4,1.46113,2.64611e-08
558,90.0,2.4,1.46288,2.16607e-08
559,90.0,2.4,1.46463,4.39554e-08
560,90.0,2.4,1.46639,6.95913e-08
561,90.0,2.4,1.46815,6.63651e-08
562,90.0,2.4,1.46991,3.44442e-08
563,90.0,2.4,1.47167,1.7014e-08
564,90.0,2.4,1.47344,2.69197e-08
565,90.0,2.4,1.4752,3.87223e-08
566,90.0,2.4,1.47697,3.3371e-08
567,90.0,2.4,1.47875,2.64995e-08
568,90.0,2.4,1.48052,4.67867e-08
569,90.0,2.4,1.48229,3.92214e-08
570,90.0,2.4,1.48407,5.9447e-08
571,90.0,2.4,1.48585,5.2524e-08
572,90.0,2.4,1.48763,7.77427e-08
573,90.0,2.4,1.48942,6.07307e-08
574,90.0,2.4,1.4912,3.59112e-08
575,90.0,2.4,1.49299,1.04047e-08
576,90.0,2.4,1.49478,1.23741e-08
577,90.0,2.4,1.49658,3.83207e-08
578,90.0,2.4,1.49837,4.02288e-08
579,90.0,2.4,1.50017,3.32657e-08
580,90.0,2.4,1.50197,1.88992e-08
581,90.0,2.4,1.50377,1.88004e-08
582,90.0,2.4,1.50557,1.46111e-08
583,90.0,2.4,1.50738,6.97916e-09
584,90.0,2.4,1.50918,6.43818e-09
585,90.0,2.4,1.51099,8.70408e-09
586,90.0,2.4,1.51281,5.72809e-09
587,90.0,2.4,1.51462,1.46633e-08
588,90.0,2.4,1.51644,3.59306e-08
589,90.0,2.4,1.51826,5.23501e-08
590,90.0,2.4,1.52008,5.08483e-08
591,90.0,2.4,1.5219,3.3624e-08
592,90.0,2.4,1.52372,4.70243e-08
593,90.0,2.4,1.52555,6.56976e-08
